example_id,split_0,split_1,split_2,split_3,split_4
9972,valid,train,train,train,train
4822,train,valid,train,train,train
4868,train,train,train,train,valid
8077,train,train,train,train,valid
7186,train,train,valid,train,train
5694,train,train,train,train,valid
3169,train,train,valid,train,train
697,train,train,valid,train,train
3429,train,train,valid,train,train
7788,train,train,train,valid,train
124,train,train,train,valid,train
3685,train,train,train,train,valid
5727,train,train,valid,train,train
9688,train,valid,train,train,train
3989,train,valid,train,train,train
1331,train,train,valid,train,train
7098,valid,train,train,train,train
5102,train,train,train,valid,train
4931,train,train,train,valid,train
132,train,train,valid,train,train
5239,train,train,valid,train,train
4282,train,train,valid,train,train
2658,valid,train,train,train,train
6434,train,valid,train,train,train
6377,train,train,valid,train,train
2380,train,train,valid,train,train
3007,train,train,valid,train,train
7998,valid,train,train,train,train
8005,train,train,train,valid,train
9788,train,train,valid,train,train
1886,train,train,train,train,valid
406,train,train,train,valid,train
1345,train,train,valid,train,train
403,train,train,valid,train,train
5123,valid,train,train,train,train
8307,valid,train,train,train,train
4947,valid,train,train,train,train
2396,train,train,train,train,valid
9244,train,train,train,valid,train
210,train,train,train,train,valid
5184,train,train,valid,train,train
3400,valid,train,train,train,train
7267,valid,train,train,train,train
5899,train,valid,train,train,train
5840,train,train,valid,train,train
6499,train,train,train,valid,train
2059,valid,train,train,train,train
430,valid,train,train,train,train
6956,train,train,train,valid,train
4805,train,train,train,train,valid
9338,train,train,train,train,valid
1049,train,train,train,train,valid
726,train,train,train,valid,train
1590,train,train,valid,train,train
273,valid,train,train,train,train
456,train,train,valid,train,train
2124,train,valid,train,train,train
8789,train,train,valid,train,train
6592,train,train,valid,train,train
178,train,train,train,valid,train
9059,train,train,train,train,valid
5673,valid,train,train,train,train
4168,train,train,train,train,valid
2716,valid,train,train,train,train
455,valid,train,train,train,train
3896,train,train,valid,train,train
669,valid,train,train,train,train
606,train,valid,train,train,train
3216,train,train,train,train,valid
9480,valid,train,train,train,train
118,train,train,valid,train,train
2438,train,train,train,valid,train
4236,valid,train,train,train,train
6891,train,train,train,train,valid
1987,train,train,valid,train,train
3824,valid,train,train,train,train
5003,train,train,valid,train,train
7996,train,train,train,train,valid
1312,train,train,train,valid,train
9185,train,train,train,train,valid
2619,valid,train,train,train,train
7915,train,valid,train,train,train
5365,train,valid,train,train,train
3181,train,train,valid,train,train
1674,train,valid,train,train,train
5529,train,valid,train,train,train
1979,train,train,train,train,valid
6880,train,train,train,valid,train
2795,train,train,train,valid,train
8847,train,valid,train,train,train
3901,train,train,train,train,valid
4293,train,valid,train,train,train
8666,train,train,train,train,valid
2854,train,train,train,train,valid
6628,train,train,train,train,valid
7394,train,valid,train,train,train
5745,train,train,train,train,valid
7631,train,valid,train,train,train
1095,train,valid,train,train,train
7938,valid,train,train,train,train
3235,train,train,train,valid,train
7317,train,train,train,valid,train
8732,train,valid,train,train,train
3766,train,train,train,valid,train
5909,valid,train,train,train,train
626,train,train,valid,train,train
2592,train,valid,train,train,train
5484,train,valid,train,train,train
2582,valid,train,train,train,train
830,train,train,train,valid,train
1006,train,train,train,valid,train
889,train,train,train,train,valid
2448,train,train,valid,train,train
3109,train,train,train,valid,train
5583,train,valid,train,train,train
5125,train,train,train,train,valid
2082,train,valid,train,train,train
9937,train,train,train,train,valid
7299,train,valid,train,train,train
7336,train,train,train,train,valid
6947,train,train,train,train,valid
8103,train,train,train,valid,train
3589,valid,train,train,train,train
5534,train,train,train,valid,train
5931,train,train,train,valid,train
5480,valid,train,train,train,train
8188,valid,train,train,train,train
3070,valid,train,train,train,train
8644,train,train,train,train,valid
2419,train,train,valid,train,train
7775,train,train,train,train,valid
2989,valid,train,train,train,train
465,train,train,train,train,valid
2931,train,train,train,valid,train
3435,train,train,train,valid,train
4059,train,train,train,train,valid
8087,train,train,train,valid,train
6362,train,train,train,train,valid
121,train,train,train,valid,train
2883,valid,train,train,train,train
7826,train,train,train,train,valid
7029,train,train,valid,train,train
6878,train,train,train,train,valid
7121,train,valid,train,train,train
255,valid,train,train,train,train
2520,train,train,train,train,valid
5847,train,train,train,train,valid
582,train,train,train,valid,train
5319,train,train,valid,train,train
8618,train,train,train,train,valid
4539,train,train,train,valid,train
4359,train,train,train,train,valid
5633,valid,train,train,train,train
5256,train,train,valid,train,train
8547,train,valid,train,train,train
4489,train,train,train,train,valid
7114,train,train,train,valid,train
4841,train,train,train,train,valid
5920,train,train,train,train,valid
8459,train,train,train,train,valid
2304,train,valid,train,train,train
8981,train,valid,train,train,train
8726,train,train,valid,train,train
3227,train,valid,train,train,train
1461,train,train,train,train,valid
4917,train,train,valid,train,train
4332,train,train,valid,train,train
5988,train,train,train,valid,train
9796,train,valid,train,train,train
4814,train,train,train,train,valid
1881,train,train,train,train,valid
4510,train,train,train,valid,train
5438,valid,train,train,train,train
5870,train,train,train,valid,train
530,train,train,train,train,valid
1802,valid,train,train,train,train
9659,valid,train,train,train,train
5940,train,valid,train,train,train
7906,train,valid,train,train,train
7652,train,train,train,valid,train
4273,train,train,train,train,valid
4936,train,train,train,train,valid
3122,train,train,train,valid,train
3776,train,train,valid,train,train
8399,train,train,valid,train,train
9339,train,valid,train,train,train
9643,train,valid,train,train,train
2669,train,train,valid,train,train
9832,train,train,train,valid,train
420,train,train,valid,train,train
2352,valid,train,train,train,train
7402,train,train,train,train,valid
5008,train,train,train,valid,train
6108,train,train,train,valid,train
1947,train,train,valid,train,train
